Household Income (I),Household Size (S) (persons),Rainfall (R) (mm/day),Temperature (T) (°C),Travel Time (t) (minutes),Amount Spent (A),Willingness To Pay (W),Shortest Distance (d) (meters),Height Difference (h) (meters),,
55000,6,2,29.1,37,285,330,248.58,7,,
105000,9,2,29.1,122,285,330,225.62,4,,
100000,9,2,29.1,47,210,260,200.39,9,,
40000,7,2,29.1,72,350,400,149.91,4,,
70000,8,2,29.1,72,165,210,144.8,7,,
85000,9,2,29.1,47,210,260,82.13,4,,
50000,7,2,29.1,72,300,350,117.2,0,,
40000,7,2,29.1,72,120,170,101.65,4,,
70000,8,2,29.1,42,165,210,110,3,,
75000,7,2,29.1,32,285,330,30.41,3,,
85000,9,2,29.1,47,210,260,43.17,4,,
60000,6,2,29.1,42,200,250,82.57,6,,
60000,6,2,29.1,47,285,330,58.82,1,,
60000,7,2,29.1,72,165,210,60.5,5,,
60000,9,2,29.1,47,210,260,122.87,4,,
60000,9,2,29.1,122,210,260,170.88,4,,
50000,7,2,29.1,72,120,170,175.32,3,,
40000,7,2,29.1,72,120,170,108.81,2,,
40000,7,2,29.1,62,120,170,204.69,5,,
40000,7,2,29.1,62,120,170,166.03,2,,
60000,6,2,29.1,42,285,330,217.22,4,,
75000,7,2,29.1,32,285,330,276.16,2,,
75000,7,2,29.1,32,285,330,223.89,3,,
75000,6,2,29.1,42,285,330,330.22,13,,
105000,9,2,29.1,92,285,330,281.44,2,,
70000,8,2,29.1,42,165,210,210.21,1,,
80000,7,2,29.1,32,285,330,347.48,0,,
65000,8,2,29.1,42,165,210,370.11,8,,
80000,7,2,29.1,32,285,330,274.48,3,,
50000,7,2,29.1,72,165,210,134.18,3,,
80000,7,2,29.1,32,285,330,104.79,3,,
40000,7,2,29.1,72,120,170,24.17,1,,
80000,7,2,29.1,32,285,330,136.57,2,,
90000,9,2,29.1,22,200,250,219.02,1,,
100000,9,2,29.1,22,405,450,277.71,5,,
100000,9,2,29.1,22,405,450,283.71,5,,
100000,9,2,29.1,122,405,450,422.49,10,,
100000,7,2,29.1,37,285,330,432.14,12,,
60000,6,2,29.1,42,285,330,143.74,1,,
105000,9,2,29.1,22,405,450,225.25,0,,
100000,9,2,29.1,22,405,450,134.01,2,,
85000,9,2,29.1,22,330,380,100.69,2,,
75000,7,2,29.1,32,285,330,221.11,4,,
75000,7,2,29.1,72,120,170,462.49,15,,
75000,7,2,29.1,32,285,330,374.97,1,,
75000,6,2,29.1,42,285,330,401.78,5,,
70000,8,2,29.1,72,165,210,392.76,10,,
75000,7,2,29.1,37,285,330,298.38,6,,
55000,6,2,29.1,42,285,330,273.59,5,,
90000,9,2,29.1,17,405,450,99.14,4,,
40000,7,2,29.1,62,120,170,30.81,1,,
40000,7,2,29.1,72,120,170,191.67,7,,
75000,7,2,29.1,32,285,330,142.59,3,,
105000,9,2,29.1,32,330,380,63.2,1,,
105000,9,2,29.1,72,210,260,110.28,2,,
105000,6,2,29.1,42,285,330,158.9,3,,
105000,7,2,29.1,62,120,170,297.2,7,,
105000,9,2,29.1,17,405,450,32.89,2,,
65000,8,2,29.1,42,165,210,147.27,6,,
65000,8,2,29.1,42,165,210,88.64,3,,
90000,9,2,29.1,17,405,450,173.22,4,,
90000,9,2,29.1,17,200,250,112.93,0,,
90000,9,2,29.1,17,360,410,216.12,4,,
90000,6,2,29.1,42,285,330,273.34,4,,
90000,7,2,29.1,32,285,330,228.18,7,,
90000,6,2,29.1,42,285,330,354.73,8,,
80000,7,2,29.1,32,285,330,34.06,1,,
100000,9,2,29.1,122,285,330,44.42,3,,
100000,9,2,29.1,17,250,300,85.09,2,,
55000,6,2,29.1,42,285,330,60.34,0,,
60000,6,2,29.1,42,285,330,170.84,1,,
75000,7,2,29.1,32,180,230,36.07,1,,
80000,7,2,29.1,32,285,330,51.11,3,,
80000,8,2,29.1,42,165,210,33.24,2,,
80000,7,2,29.1,72,200,250,106.79,1,,
80000,9,2,29.1,122,120,170,173.18,4,,
80000,7,2,29.1,32,285,330,137.3,0,,
80000,6,2,29.1,42,285,330,200.8,4,,
75000,7,2,29.1,72,120,170,155.54,0,,
50000,7,2,29.1,72,300,350,189.91,1,,
65000,8,2,29.1,42,165,210,185.53,1,,
45000,8,2,29.1,17,450,500,254.1,2,,
45000,6,2,29.1,42,285,330,75.58,3,,
85000,9,2,29.1,17,360,410,109.86,3,,
50000,7,2,29.1,72,120,170,177.79,0,,
100000,9,2,29.1,47,210,260,165,2,,
100000,7,2,29.1,32,285,330,224.51,5,,
100000,9,2,29.1,22,360,410,207.48,5,,
100000,7,2,29.1,32,285,330,128.13,4,,
100000,8,2,29.1,42,165,210,118.15,7,,
100000,8,2,29.1,42,165,210,65.73,0,,
100000,7,2,29.1,32,285,330,91.39,2,,
100000,7,2,29.1,7,570,280,112.29,5,,
45000,8,2,29.1,42,165,210,173.97,1,,
45000,9,2,29.1,72,120,170,222.1,1,,
70000,8,2,29.1,92,120,170,155.08,2,,
90000,9,2,29.1,22,360,410,86.58,5,,
65000,8,2,29.1,72,165,210,87.48,0,,
105000,9,2,29.1,22,360,410,70.6,2,,
100000,9,2,29.1,72,360,410,144.62,2,,
