Household Income (I),Household Size (S) (persons),Rainfall (R) (mm/day),Temperature (T) (°C),Travel Time (t) (minutes),Amount Spent (A),Willingness To Pay (W),Shortest Distance (d) (meters),Height Difference (h) (meters),,
40000,7,2,29.1,44,240,290,152.63,1,,
100000,7,2,29.1,34,310,360,76.69,1,,
95000,9,2,29.1,45,210,260,105.72,2,,
95000,9,2,29.1,45,380,430,90.44,2,,
95000,9,2,29.1,44,285,330,39.66,0,,
95000,7,2,29.1,13,450,500,79.4,2,,
95000,9,2,29.1,54,165,210,118.98,1,,
95000,7,2,29.1,44,240,290,144.81,0,,
50000,7,2,29.1,25,360,410,85.98,3,,
75000,7,2,29.1,13,525,480,35.47,1,,
80000,7,2,29.1,35,285,330,105.39,3,,
75000,7,2,29.1,5,570,280,55.11,0,,
80000,7,2,29.1,34,330,380,104.04,0,,
80000,9,2,29.1,54,165,210,150.88,4,,
80000,7,2,29.1,44,300,350,188.67,5,,
100000,6,2,29.1,24,360,410,107.45,0,,
55000,6,2,29.1,24,360,410,156.85,2,,
60000,6,2,29.1,13,480,300,78.11,1,,
50000,7,2,29.1,34,330,380,118.6,3,,
45000,6,2,29.1,5,690,500,42.38,2,,
95000,9,2,29.1,54,320,370,100.9,4,,
50000,6,2,29.1,13,480,300,66.73,2,,
65000,8,2,29.1,48,210,260,172.24,4,,
90000,9,2,29.1,84,165,210,201.09,7,,
90000,9,2,29.1,64,200,250,234.88,6,,
55000,6,2,29.1,34,330,380,223.29,7,,
105000,6,2,29.1,38,285,330,251.73,10,,
55000,6,2,29.1,44,220,270,304.38,17,,
105000,9,2,29.1,94,285,330,367.9,14,,
95000,9,2,29.1,94,285,330,369.86,18,,
100000,6,2,29.1,84,270,320,438.77,15,,
90000,9,2,29.1,134,165,210,446.23,0,,
70000,8,2,29.1,113,165,210,378.76,2,,
100000,5,2,29.1,84,320,370,462.39,22,,
60000,6,2,29.1,64,120,170,421.35,19,,
100000,7,2,29.1,134,210,260,463.04,23,,
45000,6,2,29.1,94,120,170,473.06,18,,
70000,9,2,29.1,124,410,460,544.23,22,,
45000,6,2,29.1,134,120,170,527.8,19,,
95000,9,2,29.1,124,120,170,374.88,2,,
65000,8,2,29.1,134,120,170,365,0,,
90000,9,2,29.1,124,120,170,440.65,3,,
90000,9,2,29.1,124,120,170,509.4,3,,
90000,7,2,29.1,134,120,170,578.28,8,,
90000,9,2,29.1,124,120,170,598.07,3,,
90000,8,2,29.1,124,120,170,541.94,28,,
90000,9,2,29.1,134,120,170,537.82,9,,
70000,8,2,29.1,94,90,140,419.44,13,,
60000,8,2,29.1,134,90,140,467.74,27,,
65000,8,2,29.1,134,90,140,465.28,30,,
80000,7,2,29.1,134,90,140,496.23,28,,
55000,6,2,29.1,134,90,140,578.36,35,,
80000,7,2,29.1,134,90,140,578.02,21,,
80000,9,2,29.1,134,90,140,548.89,15,,
80000,6,2,29.1,134,90,140,569.17,13,,
80000,6,2,29.1,84,120,170,405.76,11,,
80000,7,2,29.1,94,120,170,380.87,10,,
65000,8,2,29.1,94,120,170,351.37,6,,
45000,6,2,29.1,84,165,210,405.94,8,,
50000,7,2,29.1,84,165,210,431,9,,
40000,7,2,29.1,88,165,210,414.42,8,,
85000,9,2,29.1,94,165,210,430.59,8,,
105000,9,2,29.1,94,165,210,475.84,10,,
75000,7,2,29.1,84,120,170,509.01,6,,
85000,9,2,29.1,134,120,170,576.85,4,,
65000,8,2,29.1,134,120,170,606.85,36,,
70000,8,2,29.1,134,120,170,597.34,1,,
55000,6,2,29.1,84,120,170,588.59,37,,
55000,7,2,29.1,88,120,170,534.18,31,,
55000,6,2,29.1,88,165,210,353.01,5,,
55000,9,2,29.1,98,165,210,469.66,21,,
55000,7,2,29.1,98,165,210,393.91,12,,
55000,9,2,29.1,98,165,210,317.62,11,,
55000,9,2,29.1,74,210,260,223.62,10,,
70000,8,2,29.1,64,240,290,178.75,11,,
100000,6,2,29.1,13,480,300,242.92,14,,
40000,7,2,29.1,8,570,280,47.76,2,,
60000,6,2,29.1,13,450,500,131.19,12,,
75000,7,2,29.1,34,330,380,145.66,10,,
90000,9,2,29.1,84,165,210,188.32,20,,
60000,6,2,29.1,8,480,300,284.86,16,,
105000,9,2,29.1,94,480,300,458.75,30,,
40000,7,2,29.1,94,480,300,564.72,38,,
85000,9,2,29.1,98,480,300,489.34,35,,
45000,6,2,29.1,74,210,260,409.46,27,,
65000,7,2,29.1,94,210,260,525.76,23,,
45000,6,2,29.1,74,210,260,429.38,9,,
100000,7,2,29.1,84,165,210,192.46,2,,
100000,8,2,29.1,44,210,260,222.27,3,,
100000,6,2,29.1,24,360,410,264.75,4,,
100000,7,2,29.1,64,240,290,283.44,4,,
100000,7,2,29.1,64,240,290,269.03,4,,
100000,9,2,29.1,74,210,260,239.04,4,,
100000,6,2,29.1,8,525,480,179.36,3,,
70000,8,2,29.1,28,330,380,147.41,3,,
65000,8,2,29.1,28,285,330,183.85,3,,
105000,7,2,29.1,28,360,410,216.09,4,,
100000,6,2,29.1,13,450,500,114.04,2,,
65000,8,2,29.1,13,450,500,73.16,1,,
70000,8,2,29.1,44,240,290,114.74,2,,
90000,9,2,29.1,48,210,260,152.21,4,,
70000,8,2,29.1,84,120,170,208.63,4,,
90000,9,2,29.1,44,240,290,147.33,3,,
45000,6,2,29.1,8,765,280,57.28,2,,
60000,6,2,29.1,13,450,500,110.26,1,,
40000,7,2,29.1,13,405,450,154.15,3,,
40000,7,2,29.1,13,405,450,196.76,4,,
105000,6,2,29.1,8,525,480,190.08,4,,
100000,5,2,29.1,8,840,550,183.97,0,,
100000,9,2,29.1,24,360,410,60,1,,
100000,6,2,29.1,8,525,480,164.91,3,,
100000,6,2,29.1,84,210,260,193.76,3,,
100000,9,2,29.1,94,210,260,229.71,3,,
100000,8,2,29.1,98,210,260,244.77,5,,
100000,7,2,29.1,134,210,260,280.49,5,,
45000,9,2,29.1,134,210,260,226.08,0,,
60000,6,2,29.1,84,210,260,208.21,3,,
80000,7,2,29.1,74,120,170,227.73,4,,
105000,7,2,29.1,84,120,170,263.29,2,,
70000,8,2,29.1,134,120,170,295.58,7,,
75000,7,2,29.1,84,120,170,258.31,8,,
75000,7,2,29.1,84,120,170,217.61,6,,
75000,7,2,29.1,34,330,380,112.01,5,,
60000,6,2,29.1,13,450,500,106.78,3,,
65000,8,2,29.1,34,285,330,62.43,2,,
50000,7,2,29.1,13,405,450,68.25,3,,
50000,8,2,29.1,34,285,330,117.72,4,,
50000,6,2,29.1,13,450,500,150.76,4,,
50000,7,2,29.1,44,285,330,187.24,4,,
50000,9,2,29.1,84,165,210,196.98,1,,
50000,8,2,29.1,44,240,290,151.79,4,,
50000,6,2,29.1,8,525,480,52.17,2,,
50000,7,2,29.1,34,330,380,109.81,1,,
50000,8,2,29.1,44,240,290,145.99,3,,
70000,7,2,29.1,24,360,410,97.02,2,,
75000,7,2,29.1,24,360,410,76.22,0,,
90000,9,2,29.1,44,240,290,71.81,2,,
70000,8,2,29.1,44,285,330,61.2,1,,
75000,7,2,29.1,34,330,380,125.25,2,,
100000,6,2,29.1,64,120,170,293.9,5,,
70000,8,2,29.1,134,120,170,340.3,5,,
80000,9,2,29.1,134,120,170,267.37,4,,
95000,9,2,29.1,134,120,170,296.45,5,,
90000,9,2,29.1,134,120,170,328.4,6,,
40000,7,2,29.1,94,120,170,271.15,4,,
55000,6,2,29.1,84,120,170,260.71,4,,
100000,6,2,29.1,94,90,140,327.27,7,,
85000,9,2,29.1,134,90,140,291.29,6,,
105000,9,2,29.1,124,90,140,339.84,8,,
100000,9,2,29.1,124,90,140,306.22,6,,
100000,8,2,29.1,134,90,140,268.07,5,,
100000,9,2,29.1,134,90,140,355.76,7,,
100000,6,2,29.1,124,90,140,310.04,7,,
100000,8,2,29.1,144,90,140,357.58,7,,
100000,9,2,29.1,134,90,140,306.79,10,,
80000,8,2,29.1,144,90,140,356.72,11,,
65000,8,2,29.1,134,90,140,244,3,,
80000,7,2,29.1,34,330,380,183.17,4,,
60000,6,2,29.1,84,120,170,237.61,5,,
60000,6,2,29.1,18,405,450,157.43,4,,
60000,7,2,29.1,28,330,380,203.97,3,,
60000,7,2,29.1,28,330,380,136.36,1,,
70000,8,2,29.1,24,360,410,45.04,1,,
50000,7,2,29.1,13,480,300,47.68,2,,
80000,7,2,29.1,24,360,410,79.16,0,,
40000,7,2,29.1,34,330,380,112.36,1,,
100000,7,2,29.1,38,330,380,82.86,0,,
70000,8,2,29.1,48,240,290,93.41,3,,
70000,7,2,29.1,13,450,500,54.82,0,,
85000,9,2,29.1,44,285,330,82.46,2,,
70000,8,2,29.1,34,330,380,118.11,2,,
95000,9,2,29.1,44,285,330,55.58,0,,
65000,8,2,29.1,24,360,410,53.54,1,,
65000,6,2,29.1,8,645,400,48.84,1,,
65000,9,2,29.1,28,285,330,88.2,2,,
65000,9,2,29.1,28,285,330,42.2,0,,
65000,7,2,29.1,13,450,500,38.48,0,,
75000,7,2,29.1,13,480,300,47.76,1,,
70000,8,2,29.1,13,450,500,15.62,0,,
105000,9,2,29.1,24,360,410,23.19,1,,
60000,6,2,29.1,13,645,400,46.49,1,,
90000,9,2,29.1,44,285,330,65.73,0,,
80000,7,2,29.1,13,480,300,52.2,1,,
60000,7,2,29.1,13,480,300,67.36,1,,
95000,9,2,29.1,44,285,330,56.73,0,,
60000,6,2,29.1,8,570,280,135.2,2,,
65000,8,2,29.1,34,330,380,143.39,3,,
95000,9,2,29.1,48,240,290,121.56,3,,
60000,6,2,29.1,8,645,400,66.03,2,,
95000,9,2,29.1,48,240,290,155.97,5,,
100000,6,2,29.1,8,570,280,116.73,3,,
60000,6,2,29.1,8,570,280,151.73,2,,
50000,7,2,29.1,13,480,300,44.18,3,,
100000,5,2,29.1,8,480,300,69.32,1,,
50000,7,2,29.1,8,480,300,91.55,2,,
100000,7,2,29.1,13,480,300,37.7,0,,
75000,7,2,29.1,13,405,450,94.34,3,,
80000,9,2,29.1,48,240,290,103.46,2,,
50000,7,2,29.1,13,405,450,196.36,2,,
100000,6,2,29.1,13,525,480,187.96,6,,
40000,7,2,29.1,24,360,410,220.1,1,,
65000,8,2,29.1,34,330,380,163.62,0,,
50000,7,2,29.1,24,405,450,138.36,3,,
90000,9,2,29.1,88,210,260,213.04,2,,
40000,7,2,29.1,20,405,450,145.72,2,,
50000,7,2,29.1,30,330,380,256.45,2,,
50000,7,2,29.1,20,405,450,180.25,2,,
50000,7,2,29.1,20,360,410,214.46,1,,
50000,8,2,29.1,88,210,260,319.04,2,,
50000,9,2,29.1,80,165,210,311.67,8,,
50000,7,2,29.1,30,330,380,247.03,6,,
95000,9,2,29.1,88,210,260,145.5,1,,
65000,8,2,29.1,40,240,290,243.13,5,,
95000,9,2,29.1,88,210,260,277.12,3,,
100000,9,2,29.1,88,210,260,259.28,2,,
100000,6,2,29.1,13,480,300,223.83,1,,
100000,7,2,29.1,20,360,410,221.54,7,,
100000,6,2,29.1,13,450,500,254.95,6,,
100000,7,2,29.1,30,330,380,256.85,3,,
60000,6,2,29.1,13,450,500,304.61,2,,
70000,8,2,29.1,40,240,290,322.06,7,,
70000,8,2,29.1,38,240,290,318.11,5,,
90000,9,2,29.1,88,210,260,320.63,1,,
95000,9,2,29.1,40,240,290,256.73,4,,
105000,7,2,29.1,20,405,450,260.6,4,,
55000,6,2,29.1,40,450,500,318.02,3,,
55000,6,2,29.1,13,450,500,301.88,2,,
90000,9,2,29.1,40,240,290,234.06,2,,
45000,6,2,29.1,13,525,480,234.36,4,,
100000,7,2,29.1,13,525,480,132,1,,
60000,6,2,29.1,20,405,450,206.63,7,,
80000,9,2,29.1,30,330,380,138.22,4,,
85000,9,2,29.1,20,360,410,80.99,2,,
85000,7,2,29.1,8,600,450,26.17,0,,
85000,9,2,29.1,20,360,410,109.66,4,,
85000,6,2,29.1,8,690,500,174.52,9,,
85000,7,2,29.1,20,405,450,255.15,11,,
40000,7,2,29.1,20,405,450,297.06,11,,
40000,7,2,29.1,20,405,450,276.74,10,,
60000,6,2,29.1,8,525,480,261.28,9,,
55000,6,2,29.1,8,600,450,209.29,8,,
95000,9,2,29.1,40,285,330,238.03,6,,
95000,9,2,29.1,30,330,380,160.65,8,,
95000,7,2,29.1,13,480,300,152.07,6,,
95000,7,2,29.1,8,525,480,112.64,4,,
95000,6,2,29.1,8,645,400,177.19,4,,
95000,7,2,29.1,8,480,300,159.15,2,,
95000,6,2,29.1,8,765,280,97.59,2,,
90000,9,2,29.1,20,360,410,80.06,3,,
45000,6,2,29.1,8,810,550,70.01,1,,
85000,9,2,29.1,40,285,330,183.13,4,,
105000,7,2,29.1,8,525,480,116.71,4,,
105000,6,2,29.1,8,765,280,86.05,5,,
95000,9,2,29.1,20,405,450,46.53,3,,
