ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2,t3,A3,W3,d3,t4,A4,W4,d4
41,45000,6,2,29.1,35,206.46,6,140,120,170,4200,35098.2,7226.1,1225,14400,28900,42625.7316,42875,1728000,4913000,8800508.546,1500625,207360000,835210000,1816952994
42,60000,6,2,29.1,40,193.83,6,140,260,310,10400,60087.3,7753.2,1600,67600,96100,37570.0689,64000,17576000,29791000,7282206.455,2560000,4569760000,9235210000,1411510077
43,40000,7,2,29.1,60,188.4,4,100,120,170,7200,32028,11304,3600,14400,28900,35494.56,216000,1728000,4913000,6687175.104,12960000,207360000,835210000,1259863790
44,60000,6,2,29.1,35,139.45,4,140,120,170,4200,23706.5,4880.75,1225,14400,28900,19446.3025,42875,1728000,4913000,2711786.884,1500625,207360000,835210000,378158680.9
45,65000,7,2,29.1,30,74.4,3,180,180,230,5400,17112,2232,900,32400,52900,5535.36,27000,5832000,12167000,411830.784,810000,1049760000,2798410000,30640210.33
46,100000,7,2,29.1,20,35.36,1,220,360,410,7200,14497.6,707.2,400,129600,168100,1250.3296,8000,46656000,68921000,44211.65466,160000,16796160000,28257610000,1563324.109
47,70000,8,2,29.1,40,51.62,1,160,285,330,11400,17034.6,2064.8,1600,81225,108900,2664.6244,64000,23149125,35937000,137547.9115,2560000,6597500625,11859210000,7100223.193
48,100000,9,2,29.1,20,90.8,1,220,240,290,4800,26332,1816,400,57600,84100,8244.64,8000,13824000,24389000,748613.312,160000,3317760000,7072810000,67974088.73
49,85000,9,2,29.1,20,136.56,2,200,120,170,2400,23215.2,2731.2,400,14400,28900,18648.6336,8000,1728000,4913000,2546657.404,160000,207360000,835210000,347771535.1
50,100000,9,2,29.1,20,150.72,4,220,300,350,6000,52752,3014.4,400,90000,122500,22716.5184,8000,27000000,42875000,3423833.653,160000,8100000000,15006250000,516040208.2
51,90000,9,2,29.1,20,102.08,1,220,120,170,2400,17353.6,2041.6,400,14400,28900,10420.3264,8000,1728000,4913000,1063706.919,160000,207360000,835210000,108583202.3
52,105000,9,2,29.1,20,114.39,3,200,240,290,4800,33173.1,2287.8,400,57600,84100,13085.0721,8000,13824000,24389000,1496801.398,160000,3317760000,7072810000,171219111.9
53,75000,7,2,29.1,30,139.29,4,180,120,170,3600,23679.3,4178.7,900,14400,28900,19401.7041,27000,1728000,4913000,2702463.364,810000,207360000,835210000,376426122
54,75000,7,2,29.1,45,188.53,3,120,120,170,5400,32050.1,8483.85,2025,14400,28900,35543.5609,91125,1728000,4913000,6701027.536,4100625,207360000,835210000,1263344721
55,75000,9,2,29.1,20,189.11,3,200,200,250,4000,47277.5,3782.2,400,40000,62500,35762.5921,8000,8000000,15625000,6763063.792,160000,1600000000,3906250000,1278962994
56,75000,7,2,29.1,30,151.82,3,180,120,170,3600,25809.4,4554.6,900,14400,28900,23049.3124,27000,1728000,4913000,3499346.609,810000,207360000,835210000,531270802.1
57,75000,8,2,29.1,40,98.27,3,160,310,360,12400,35377.2,3930.8,1600,96100,129600,9656.9929,64000,29791000,46656000,948992.6923,2560000,9235210000,16796160000,93257511.87
58,75000,6,2,29.1,20,66.1,3,200,285,330,5700,21813,1322,400,81225,108900,4369.21,8000,23149125,35937000,288804.781,160000,6597500625,11859210000,19089996.02
59,75000,6,2,29.1,40,54.04,2,160,330,380,13200,20535.2,2161.6,1600,108900,144400,2920.3216,64000,35937000,54872000,157814.1793,2560000,11859210000,20851360000,8528278.247
60,75000,6,2,29.1,35,37.12,1,140,280,330,9800,12249.6,1299.2,1225,78400,108900,1377.8944,42875,21952000,35937000,51147.44013,1500625,6146560000,11859210000,1898592.978
61,80000,7,2,29.1,30,77.16,2,180,210,260,6300,20061.6,2314.8,900,44100,67600,5953.6656,27000,9261000,17576000,459384.8377,810000,1944810000,4569760000,35446134.08
62,40000,7,2,29.1,60,118.44,2,100,165,210,9900,24872.4,7106.4,3600,27225,44100,14028.0336,216000,4492125,9261000,1661480.3,12960000,741200625,1944810000,196785726.7
63,75000,7,2,29.1,30,176.82,3,180,165,210,4950,37132.2,5304.6,900,27225,44100,31265.3124,27000,4492125,9261000,5528332.539,810000,741200625,1944810000,977519759.5
64,40000,7,2,29.1,50,235.36,6,120,100,150,5000,35304,11768,2500,10000,22500,55394.3296,125000,1000000,3375000,13037609.41,6250000,100000000,506250000,3068531752
65,45000,6,2,29.1,40,254.87,7,140,165,210,6600,53522.7,10194.8,1600,27225,44100,64958.7169,64000,4492125,9261000,16556028.18,2560000,741200625,1944810000,4219634901
66,90000,9,2,29.1,20,296.1,9,220,165,210,3300,62181,5922,400,27225,44100,87675.21,8000,4492125,9261000,25960629.68,160000,741200625,1944810000,7686942449
67,50000,7,2,29.1,50,207.2,5,120,200,250,10000,51800,10360,2500,40000,62500,42931.84,125000,8000000,15625000,8895477.248,6250000,1600000000,3906250000,1843142886
68,60000,6,2,29.1,40,238.32,6,140,165,210,6600,50047.2,9532.8,1600,27225,44100,56796.4224,64000,4492125,9261000,13535723.39,2560000,741200625,1944810000,3225833597
69,60000,7,2,29.1,50,197.28,5,120,165,210,8250,41428.8,9864,2500,27225,44100,38919.3984,125000,4492125,9261000,7678018.916,6250000,741200625,1944810000,1514719572
70,60000,9,2,29.1,20,228.64,6,200,310,360,6200,82310.4,4572.8,400,96100,129600,52276.2496,8000,29791000,46656000,11952441.71,160000,9235210000,16796160000,2732806272
71,60000,7,2,29.1,60,237.98,6,100,165,210,9900,49975.8,14278.8,3600,27225,44100,56634.4804,216000,4492125,9261000,13477873.65,12960000,741200625,1944810000,3207464370
72,60000,8,2,29.1,40,197.31,5,160,165,210,6600,41435.1,7892.4,1600,27225,44100,38931.2361,64000,4492125,9261000,7681522.195,2560000,741200625,1944810000,1515641144
73,60000,6,2,29.1,40,209.4,5,140,120,170,4800,35598,8376,1600,14400,28900,43848.36,64000,1728000,4913000,9181846.584,2560000,207360000,835210000,1922678675
74,60000,7,2,29.1,30,261.01,6,180,280,330,8400,86133.3,7830.3,900,78400,108900,68126.2201,27000,21952000,35937000,17781624.71,810000,6146560000,11859210000,4641181865
75,65000,8,2,29.1,40,234.85,6,160,120,170,4800,39924.5,9394,1600,14400,28900,55154.5225,64000,1728000,4913000,12953039.61,2560000,207360000,835210000,3042021352
76,70000,7,2,29.1,30,281.32,4,180,120,170,3600,47824.4,8439.6,900,14400,28900,79140.9424,27000,1728000,4913000,22263929.92,810000,207360000,835210000,6263288764
77,40000,7,2,29.1,60,344.41,0,100,300,350,18000,120543.5,20664.6,3600,90000,122500,118618.2481,216000,27000000,42875000,40853310.83,12960000,8100000000,15006250000,14070288782
78,45000,6,2,29.1,40,315.41,1,140,120,170,4800,53619.7,12616.4,1600,14400,28900,99483.4681,64000,1728000,4913000,31378080.67,2560000,207360000,835210000,9896960425
79,95000,9,2,29.1,20,347.59,2,200,120,170,2400,59090.3,6951.8,400,14400,28900,120818.8081,8000,1728000,4913000,41995409.51,160000,207360000,835210000,14597184391
80,105000,7,2,29.1,20,372.86,3,200,120,170,2400,63386.2,7457.2,400,14400,28900,139024.5796,8000,1728000,4913000,51836704.75,160000,207360000,835210000,19327833733
81,75000,9,2,29.1,20,408.79,5,200,180,230,3600,94021.7,8175.8,400,32400,52900,167109.2641,8000,5832000,12167000,68312596.07,160000,1049760000,2798410000,27925506148
82,60000,6,2,29.1,40,389.42,4,140,120,170,4800,66201.4,15576.8,1600,14400,28900,151647.9364,64000,1728000,4913000,59054739.39,2560000,207360000,835210000,22997096614
83,105000,6,3.32,29.1,20,415.88,8,200,120,170,2400,70699.6,8317.6,400,14400,28900,172956.1744,8000,1728000,4913000,71929013.81,160000,207360000,835210000,29913838263
84,95000,9,3.32,29.1,20,465.97,15,200,220,270,4400,125811.9,9319.4,400,48400,72900,217128.0409,8000,10648000,19683000,101175153.2,160000,2342560000,5314410000,47144586145
85,80000,7,3.32,29.1,30,491.23,11,180,120,170,3600,83509.1,14736.9,900,14400,28900,241306.9129,27000,1728000,4913000,118537194.8,810000,207360000,835210000,58229026213
