ID,Household income,Household size,Rainfall,Ave temp wet,LST wet,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay
137,95000,7,306.69,28.4,38.51,20,67.08,2,200,450,500
138,95000,8,306.69,28.4,38.66,40,69.35,2,160,230,280
139,95000,6,306.69,28.4,38.63,40,49.48,1,140,600,450
140,95000,6,306.69,28.4,39.09,40,45.88,0,140,480,300
141,95000,7,306.69,28.4,38.29,30,93.91,3,180,360,410
142,75000,9,306.69,28.4,38,20,10.77,0,200,280,330
143,95000,9,306.69,28.4,39.16,20,60.44,2,200,285,330
144,60000,6,306.69,28.4,39.03,40,35.44,1,140,720,380
145,75000,7,306.69,28.4,39.39,30,59.51,0,180,450,500
146,40000,7,306.69,28.4,39.1,60,99.76,1,100,180,230
147,65000,8,306.69,28.4,39.09,40,89.47,2,160,285,330
148,85000,9,306.69,28.4,38.93,20,57.71,1,200,300,350
149,40000,7,306.69,28.4,37.76,60,229.59,8,100,120,170
150,45000,6,306.69,28.4,37.73,40,36.36,1,140,645,400
151,65000,8,306.69,28.4,38.09,35,129.4,5,160,285,330
152,40000,7,306.69,28.4,37.44,60,121.5,4,100,360,410
153,40000,9,306.69,28.4,37.18,20,177.72,4,200,210,260
154,40000,8,306.69,28.4,37.67,40,230.65,7,160,380,430
155,40000,7,306.69,28.4,36.98,30,294.54,6,180,210,260
156,40000,7,306.69,28.4,37.85,20,178.72,2,200,210,260
157,40000,8,306.69,28.4,37.8,40,196.02,9,160,380,430
158,90000,9,306.69,28.4,37.13,20,224.45,11,200,210,260
159,105000,9,306.69,28.4,36.72,20,215.2,11,220,180,230
160,70000,8,306.69,28.4,36.65,40,210.11,5,160,210,260
161,70000,6,306.69,28.4,37.11,35,250.91,6,140,210,260
162,70000,8,306.69,28.4,37.2,40,332.63,7,160,180,230
163,70000,9,306.69,28.4,37.29,20,389.28,1,200,210,260
164,70000,6,306.69,28.4,38.49,20,448.99,3,220,370,420
165,105000,7,306.69,28.4,37.04,30,338.76,10,180,210,260
166,40000,7,306.69,28.4,37.31,50,305.81,18,100,210,260
167,100000,6,306.69,28.4,37.52,20,308.01,18,220,320,370
168,40000,7,306.69,28.4,37.69,60,400.05,22,100,210,260
169,50000,7,306.69,28.4,37.23,50,420.33,23,120,140,190
170,55000,6,306.69,28.4,37.03,40,378.8,18,140,210,260
171,70000,8,306.69,28.4,37.13,35,426.9,11,160,210,260
172,50000,7,306.69,28.4,38.47,60,473.33,10,100,180,230
173,80000,7,306.69,28.4,40.38,30,531.51,18,180,210,260
174,80000,8,306.69,28.4,40.03,40,527.39,16,160,210,260
175,80000,9,306.69,28.4,39.73,20,463.04,4,200,190,240
176,80000,6,306.69,28.4,38.6,20,488.07,26,200,210,260
177,80000,7,306.69,28.4,37.89,50,474.22,15,220,210,260
178,80000,7,306.69,28.4,37.51,30,469.3,24,180,400,450
179,80000,8,306.69,28.4,38.14,40,470.34,17,160,210,260
180,80000,6,306.69,28.4,38.02,40,405.81,9,140,120,170
181,80000,7,306.69,28.4,38.2,30,379.33,16,180,280,330
182,50000,7,306.69,28.4,37.95,30,323.36,12,180,120,170
183,60000,6,306.69,28.4,38.09,40,373.55,9,140,120,170
184,50000,7,306.69,28.4,36.97,50,268.75,9,120,165,210
185,70000,8,306.69,28.4,38.35,40,342.38,2,160,380,430
186,95000,8,306.69,28.4,38.09,35,297.26,6,160,165,210
187,95000,9,306.69,28.4,37.59,20,231.68,8,200,120,170
188,65000,8,306.69,28.4,38.05,40,237.2,0,160,165,210
189,45000,6,306.69,28.4,37.72,40,186.42,6,140,280,330
190,40000,7,306.69,28.4,37.75,60,72.57,3,100,360,410
191,55000,6,306.69,28.4,36.6,40,112.72,3,140,450,500
192,55000,6,306.69,28.4,37.47,40,159.14,6,140,450,500
193,85000,9,306.69,28.4,37.8,40,196.45,4,200,165,210
194,90000,8,306.69,28.4,37.28,40,222.3,9,160,210,260
195,60000,6,306.69,28.4,37.06,40,128.72,1,140,280,330
196,100000,7,306.69,28.4,37.58,20,306.37,15,220,285,330
197,100000,9,306.69,28.4,36.72,20,196.6,3,220,210,260
198,40000,7,306.69,28.4,37.79,60,211.02,2,100,330,380
199,50000,6,306.69,28.4,37.08,40,192.63,4,140,480,300
200,75000,7,306.69,28.4,38.06,30,230.85,2,180,330,380
201,95000,9,306.69,28.4,38.95,50,101.84,0,200,285,330
202,55000,6,306.69,28.4,38.98,40,138.64,2,140,570,280
203,65000,7,306.69,28.4,38.98,30,105.08,1,180,480,300
204,105000,6,306.69,28.4,38.61,20,72.84,0,200,720,380
205,65000,8,306.69,28.4,38.76,40,87.14,1,160,300,350
206,60000,6,306.69,28.4,38.79,40,113.88,4,140,600,450
207,75000,7,306.69,28.4,38.96,30,137.06,2,180,450,500
208,105000,7,306.69,28.4,39.14,20,132.09,4,200,380,430
209,45000,6,306.69,28.4,38.87,40,55.07,3,140,765,280
210,80000,7,306.69,28.4,39.19,30,85.29,4,180,525,480
211,80000,7,306.69,28.4,38.65,30,27.07,1,180,600,450
212,95000,9,306.69,28.4,38.39,20,146.49,2,200,165,210
213,85000,9,306.69,28.4,38.37,35,131.61,2,200,270,320
214,40000,7,306.69,28.4,37.91,60,152.63,1,100,240,290
215,100000,7,306.69,28.4,38.43,30,76.69,1,180,310,360
216,95000,9,306.69,28.4,38.51,20,105.72,2,200,210,260
217,95000,9,306.69,28.4,38.61,20,90.44,2,200,380,430
218,95000,9,306.69,28.4,38.6,20,39.66,0,200,285,330
219,95000,7,306.69,28.4,38.54,50,79.4,2,120,450,500
220,95000,9,306.69,28.4,38.22,50,118.98,1,200,165,210
221,95000,7,306.69,28.4,38.04,30,144.81,0,180,240,290
222,50000,7,306.69,28.4,38.31,50,85.98,3,120,360,410
223,75000,7,306.69,28.4,38.48,30,35.47,1,180,525,480
224,80000,7,306.69,28.4,38.16,30,105.39,3,180,285,330
225,75000,7,306.69,28.4,38.46,30,55.11,0,180,570,280
226,80000,7,306.69,28.4,38.3,30,104.04,0,180,330,380
227,80000,9,306.69,28.4,37.82,20,150.88,4,200,165,210
228,80000,7,306.69,28.4,37.74,30,188.67,5,180,300,350
229,100000,6,306.69,28.4,38.47,20,107.45,0,220,360,410
230,55000,6,306.69,28.4,37.67,40,156.85,2,140,360,410
231,60000,6,306.69,28.4,38.59,40,78.11,1,140,480,300
232,50000,7,306.69,28.4,38.45,50,118.6,3,120,330,380
233,45000,6,306.69,28.4,38.67,40,42.38,2,140,690,500
234,95000,9,306.69,28.4,38.49,20,100.9,4,200,320,370
235,50000,6,306.69,28.4,38.44,40,66.73,2,140,480,300
236,65000,8,306.69,28.4,37.72,40,172.24,4,160,210,260
237,90000,9,306.69,28.4,37.44,20,201.09,7,200,165,210
238,90000,9,306.69,28.4,37.8,20,234.88,6,200,200,250
239,55000,6,306.69,28.4,37.09,40,223.29,7,140,330,380
240,105000,6,306.69,28.4,36.3,20,251.73,10,200,285,330
241,55000,6,306.69,28.4,37.64,40,304.38,17,140,220,270
