ID,Household income,Household size,Rainfall,Ave temp dry,Travel time,Shortest distance,Height diff,Volume per day wet,Amount spent,Willingness to pay,tA,Wd,td,t2,A2,W2,d2
123,100000,6,3.32,29.1,20,56.75,2,220,480,300,9600,17025,1135,400,230400,90000,3220.5625
124,100000,7,3.32,29.1,20,145.91,8,220,220,270,4400,39395.7,2918.2,400,48400,72900,21289.7281
125,40000,7,3.32,29.1,60,55.01,1,100,405,450,24300,24754.5,3300.6,3600,164025,202500,3026.1001
126,100000,6,3.32,29.1,20,88.62,4,220,350,400,7000,35448,1772.4,400,122500,160000,7853.5044
127,60000,6,3.32,29.1,40,97.74,3,140,480,300,19200,29322,3909.6,1600,230400,90000,9553.1076
128,40000,7,3.32,29.1,60,32.02,1,100,450,500,27000,16010,1921.2,3600,202500,250000,1025.2804
129,95000,9,3.32,29.1,20,79.88,0,200,240,290,4800,23165.2,1597.6,400,57600,84100,6380.8144
130,45000,6,3.32,29.1,40,95.52,4,140,480,300,19200,28656,3820.8,1600,230400,90000,9124.0704
131,85000,7,3.32,29.1,30,56.01,1,180,405,450,12150,25204.5,1680.3,900,164025,202500,3137.1201
132,60000,6,3.32,29.1,40,94.37,1,140,450,500,18000,47185,3774.8,1600,202500,250000,8905.6969
133,75000,7,3.32,29.1,30,23.85,1,180,480,300,14400,7155,715.5,900,230400,90000,568.8225
134,80000,7,3.32,29.1,30,74.17,1,180,300,350,9000,25959.5,2225.1,900,90000,122500,5501.1889
135,95000,9,3.32,29.1,20,79.2,1,220,240,290,4800,22968,1584,400,57600,84100,6272.64
136,95000,9,3.32,29.1,20,30.59,1,200,330,380,6600,11624.2,611.8,400,108900,144400,935.7481
137,95000,7,3.32,29.1,20,67.08,2,200,450,500,9000,33540,1341.6,400,202500,250000,4499.7264
138,95000,8,3.32,29.1,40,69.35,2,160,230,280,9200,19418,2774,1600,52900,78400,4809.4225
139,95000,6,3.32,29.1,40,49.48,1,140,600,450,24000,22266,1979.2,1600,360000,202500,2448.2704
